id,organisation_name,channel_name,address,block_number,street_name,building_name,postcode,latitude,longitude,operating_hours,contact,website,categories_accepted,type,remarks,channel_of_reuse,
96,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 292 Bukit Batok East Avenue,"292 Bukit Batok East Avenue 6, #01-02 , Singapore 650292",292,Bukit Batok East Avenue 6,"292 Bukit Batok East Avenue 6, #01-02",650292,1.34447136304156,103.755394615486,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
97,ALBA E-waste Smart Recycling Pte Ltd,Giant @ 376 Bukit Batok St 31,"376 Bukit Batok St 31, #01-116, Singapore 650376",376,Bukit Batok St 31,"376 Bukit Batok St 31, #01-116",650376,1.35831705249927,103.749579868748,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
98,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 4 Bukit Batok St 41,"4 Bukit Batok St 41 #01-91/92, Singapore 657991",4,Bukit Batok St 41 #01-91/92,,657991,1.35594171176111,103.741127005764,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
99,ALBA E-waste Smart Recycling Pte Ltd,Hong Kah North CC,"30 Bukit Batok Street 31, Hong Kah North CC, Rear Entrance, Singapore 659440",30,Bukit Batok Street 31,"Hong Kah North CC, Rear Entrance",659440,1.35903339724932,103.749486819843,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
100,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Hometeam Ns Bukit Batok Clubhouse,"2 Bukit Batok West Ave 7, Hometeam Ns Bukit Batok Clubhouse, #01-10 , Singapore 659003",2,Bukit Batok West Ave 7,"Hometeam NS Bukit Batok Clubhouse, #01-10",659003,1.36577391240463,103.748520902563,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
101,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ Bukit Batok West,"440 Bukit Batok West Ave 8, #01-10 , Singapore 650440",440,Bukit Batok West Ave 8,"440 Bukit Batok West Ave 8, #01-10",650440,1.35572308109486,103.739303105372,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
102,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 154A Bukit Batok West,"154A Bukit Batok West Ave 8, #01-01 , Singapore 651154",154A,Bukit Batok West Ave 8,"154A Bukit Batok West Ave 8, #01-01",651154,1.34737180152613,103.743698106143,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
103,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 451 Bukit Batok,"451 Bukit Batok West Avenue 6, #01-10, Common Corridor, Singapore 650451",451,Bukit Batok West Avenue 6,"451 Bukit Batok West Avenue 6, #01-10, Common Corridor",650451,1.35303717968525,103.743942567711,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
104,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 166 Bukit Merah Central,"166 Bukit Merah Central, #01-3531 & 02-3531 , Singapore 150166",166,Bukit Merah Central,"166 Bukit Merah Central, #01-3531 & 02-3531",150166,1.28315092773625,103.817689706645,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
105,ALBA E-waste Smart Recycling Pte Ltd,Bukit Purmei Zone A RC,"108 Bukit Purmei Road, #01-129, Singapore 90108",108,Bukit Purmei Road,"108 Bukit Purmei Road, #01-129",90108,-1.00000000000000,-1.000000000000,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
106,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Coronation Plaza,"587 Bukit Timah Rd #01-01 Coronation Plaza, #01-01, Singapore 269707",587,Bukit Timah Rd #01-01 Coronation Plaza,"587 Bukit Timah Rd #01-01 Coronation Plaza, #01-01",269707,1.32383369976841,103.810002032513,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
107,ALBA E-waste Smart Recycling Pte Ltd,Cold Storage @ Cluny Court,"501 Bukit Timah Road, Cluny Court, #01-02 , Singapore 259760",501,Bukit Timah Road,"Cluny Court, #01-02",259760,1.32257316934913,103.814245542255,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
