postcode,block_number,latitude,longitude
560589,589,1.37237,103.8526
544975,273,1.38413,103.89403
640406,406,1.35431,103.7224
820639,639,1.39946,103.91605
460088,88,1.33313,103.93911
460088,88,1.33313,103.93911
521164,164,1.34962,103.946
520929,929,1.34639,103.93961
310233,233,1.33828,103.85847
380045,45,1.31734,103.87844
143052,52,1.30222,103.79693
521107,107,1.34837,103.94813
461056,56,1.32499,103.94108
50034,34,1.28624,103.8423
460069,69,1.31935,103.94363
530134,134,1.35046,103.88651
150125,125,1.28593,103.803
601020,20,1.32394,103.73797
751357,357,1.45004,103.817
600032,32,1.32184,103.73987
530169,169,1.3516,103.88985
733782,782,1.44768,103.80346
734782,782,1.44817,103.80304
731782,782,1.44747,103.80266
737780,780,1.44848,103.80147
542180,180,1.38995,103.90945
543178,178,1.38873,103.91066
544178,178,1.38904,103.91072
544180,180,1.38936,103.9104
671636,636,1.38692,103.75854
674636,636,1.38742,103.75931
672636,636,1.38762,103.75833
673636,636,1.38743,103.75912
651105,105,1.34872,103.74663
531987,987,1.37989,103.87838
533988,988,1.3803,103.87727
680574,574,1.39441,103.74514
680572,572,1.39372,103.7453
681572,572,1.39361,103.74544
680571,571,1.39395,103.74493
680573,573,1.39442,103.74543
680570,570,1.3942,103.74447
731887,887,1.43719,103.79389
732886,886,1.43825,103.79411
733886,886,1.43773,103.79414
732887,887,1.4372,103.79435
731886,886,1.43829,103.79461
734886,886,1.43793,103.79462
733887,887,1.43714,103.79467
730886,886,1.43865,103.79466
164009,9,1.28684,103.82912
461503,503,1.33161,103.93203
160010,10,1.28636,103.82963
162009,9,1.28683,103.82866
821212,212,1.39996,103.89898
820212,212,1.3997,103.89918
822213,213,1.40072,103.89848
821213,213,1.40031,103.89808
164022,22,1.28878,103.82827
760428,428,1.42238,103.8471
762428,428,1.42208,103.84723
762426,426,1.42272,103.84637
761428,428,1.42253,103.84745
822206,206,1.39884,103.90113
672163,163,1.37676,103.76463
731370,370,1.43268,103.78708
521708,708,1.35784,103.93668
642760,760,1.34912,103.70017
682792,792,1.39551,103.74912
824168,168,1.39375,103.914
823169,169,1.39362,103.91422
822169,169,1.39322,103.91407
821169,169,1.39308,103.91428
823170,170,1.39311,103.91455
822170,170,1.39334,103.9147
821170,170,1.39356,103.91486
600374,374,1.34961,103.73255
600373,373,1.34935,103.73236
600371,371,1.34831,103.73192
751591,591,1.45076,103.82624
753590,590,1.44994,103.82672
750590,590,1.45063,103.82655
752590,590,1.45009,103.82707
751590,590,1.45036,103.82665
640181,181,1.34841,103.70776
511511,511,1.3748,103.94418
512526,526,1.36789,103.94703
822259,259,1.40388,103.89524
820258,258,1.40421,103.89564
821259,259,1.40382,103.89555
823258,258,1.40414,103.89636
750593,593,1.45172,103.82812
540333,333,1.39467,103.89205
521520,520,1.35701,103.93991
521519,519,1.35728,103.94038
523519,519,1.35621,103.93996
522519,519,1.35743,103.94005
524519,519,1.35621,103.93959
823259,259,1.40453,103.89567
561460,460,1.36661,103.85897
823168,168,1.3939,103.91378
52335,335,1.28236,103.84345
680145,145,1.38151,103.75247
752359,359,1.44963,103.81508
790411,411,1.38983,103.87684
761783,783,1.42182,103.83308
820108,108,1.39653,103.90885
650297,297,1.34504,103.74739
650298,298,1.3448,103.74714
161056,56,1.29013,103.82891
161057,57,1.29014,103.82845
731180,180,1.43906,103.77814
541180,180,1.39026,103.90962
540178,178,1.38832,103.90998
540181,181,1.39055,103.90981
543180,180,1.38949,103.90966
542178,178,1.38855,103.91003
735780,780,1.448,103.8017
731780,780,1.44868,103.80077
732780,780,1.44894,103.80102
733780,780,1.44911,103.80135
736780,780,1.44778,103.80115
734780,780,1.44812,103.80195
760348,348,1.42662,103.84293
670635,635,1.38693,103.7575
673635,635,1.3865,103.75843
541327,327,1.39526,103.88861
